KEY,NOTES,ENGLISH,FRENCH,SPANISH,GERMAN,ITALIAN,PORTUGUESE BR,PORTUGUESE,RUSSIAN,POLISH,DUTCH,SWEDISH,NORWEGIAN,HUNGARIAN,FINNISH
PROFESSION.FISHER.VERB,,Fishing,Pêchant,Pescando,Fischt,Sta pescando,Pescando,Pescar,Ловля рыбы,Łowić,Vissen,Fiska,Fisker,Halászni,Kalastus
PROFESSION.FISHER.TOOLTIP,,Catches fish from bodies of water for use as food and resources.,,,,,,,,,,,,,
PROFESSION.HUNTER.FEMALE_NOUN,This could be “huntsman” and “huntress”,Hunter,Chasseuse,Cazadora,Jägerin,Cacciatrice,Caçadora,Caçadora,Охотница,Myśliwa,Jager,Jägare,Jeger,Vadász,Metsästäjä
PROFESSION.HUNTER.MALE_NOUN,,Hunter,Chasseur,Cazador,Jäger,Cacciatore,Caçador,Caçador,Охотник,Myśliwy,Jager,Jägare,Jeger,Vadász,Metsästäjä
PROFESSION.HUNTER.VERB,,Hunting,Chassant,Cazando,Jagt,Sta cacciando,Caçando,Caçar,Охота,Polować,Jagen,Jaga,Jakter på,Vadászni,Metsästys
PROFESSION.HUNTER.TOOLTIP,,Tracks and kills wild animals for their meat and pelts.,,,,,,,,,,,,,
PROFESSION.MAYOR.FEMALE_NOUN,"In English at least, “mayoress” is incorrect",Mayor,Maire,Alcaldesa,Bürgermeisterin,Sindaco,Prefeita,Presidente da Câmara,Мэр,Burmistrzyni,Burgemeester,Borgmästare,Ordfører,Polgármester,Pormestari
PROFESSION.MAYOR.MALE_NOUN,,Mayor,Maire,Alcalde,Bürgermeister,Sindaco,Prefeito,Presidente da Câmara,Мэр,Burmistrz,Burgemeester,Borgmästare,Ordfører,Polgármester,Pormestari
PROFESSION.MAYOR.VERB,,Governing,Gouvernant,Gobernando,Verwaltet,Sta governando,Governando,Governar,Руководство,Rządzić,Besturen,Styra,Styrer,Kormányozni,Hallinto
PROFESSION.MERCHANT.FEMALE_NOUN,,Merchant,Marchande,Comerciante,Händlerin,Mercante,Mercadora,Comerciante,Торговка,Handlarka,Koopvrouw,Handlare,Handelsdrivende,Kereskedő,Kauppias
PROFESSION.MERCHANT.MALE_NOUN,,Merchant,Marchand,Comerciante,Händler,Mercante,Mercador,Comerciante,Торговец,Handlarz,Koopman,Handlare,Handelsdrivende,Kereskedő,Kauppias
PROFESSION.MERCHANT.VERB,,Trading,Échangeant,Comerciando,Tauscht,Sta commerciando,Comercializando,Comercializar,Торговля,Handlować,Handelen,Handla,Kjøper og selger,Kereskedni,Kaupankäynti
PROFESSION.MINER.FEMALE_NOUN,,Miner,Mineuse,Minera,Bergarbeiterin,Minatrice,Mineradora,Mineira,Рудокоп,Górniczka,Mijnwerker,Gruvarbetare,Gruvearbeider,Bányász,Kaivostyöläinen
PROFESSION.MINER.MALE_NOUN,,Miner,Mineur,Minero,Bergarbeiter,Minatore,Minerador,Mineiro,Рудокоп,Górnik,Mijnwerker,Gruvarbetare,Gruvearbeider,Bányász,Kaivostyöläinen
PROFESSION.MINER.TOOLTIP,,Excavates new areas using a {{TOOL.PICKAXE}}.,,,,,,,,,,,,,
PROFESSION.MINER.VERB,,Mining,Minant,Excavando,Schürft,Sta scavando,Minerando,Escavar,Добыча,Wydobywać,Delven,Gruvdrift,Utvinner,Bányászni,Louhinta
PROFESSION.MILLER.VERB,"Not a fully implemented profession, just used to describe “Milling flour”",Milling,,,,,,,,,,,,,
PROFESSION.NOBLE.FEMALE_NOUN,,Noble,Noble,Aristócrata,Adliger,Nobildonna,Nobre,Nobre,Аристократка,Szlachcianka,Edelvrouw,Adelskvinna,Adelig,Nemes,Aatelinen
PROFESSION.NOBLE.MALE_NOUN,,Noble,Noble,Aristócrata,Adliger,Nobiluomo,Nobre,Nobre,Аристократ,Szlachcic,Edelman,Adelsman,Adelig,Nemes,Aatelinen
PROFESSION.NOBLE.VERB,,Reigning,Régnant,Reinando,Regiert,Sta regnando,Reinando,Reinar,Царствование,Panować,Regeren,Regera,Hersker over,Uralkodni,Hallitseminen
PROFESSION.NOBLE.TOOLTIP,,"Nobles do not fulfil jobs in the same way as common settlers, but bring fame and prestige to your settlement.",,,,,,,,,,,,,
PROFESSION.RUNESMITH.FEMALE_NOUN,from “runes” and “blacksmith”,Runesmith,Forgerune,Runista,Runenschmiedin,Forgiarune,Runeira,Criadora de runas,Кузнец рун,Runarka,Runesmid,Runsmed,Runesmed,Rúnakovács,Riimuseppä
PROFESSION.RUNESMITH.MALE_NOUN,"This is an invented term for the game, but should be derived",Runesmith,Forgerune,Runista,Runenschmied,Forgiarune,Runeiro,Criador de runas,Кузнец рун,Runarz,Runesmid,Runsmed,Runesmed,Rúnakovács,Riimuseppä
PROFESSION.RUNESMITH.VERB,,Enchanting,Enchantant,Hechizando,Verzaubert,Sta incantando,Encantando,Encantar,Зачарование,Zaklinać,Betoveren,Förtrolla,Forhekser,Bűvölni,Loitsinta
PROFESSION.RUNESMITH.TOOLTIP,,"Enchants weapons, armour and items with magical runes to boost their abilities.",,,,,,,,,,,,,
PROFESSION.STONEMASON.FEMALE_NOUN,,Stonemason,Tailleuse de pierre,Cinceladora,Steinmetzin,Tagliapietre,Pedreira,Pedreira,Каменщица,Kamieniarka,Steenhouwer,Stenhuggare,Steinhugger,Kőfaragó,Kivenhakkaaja
PROFESSION.STONEMASON.MALE_NOUN,,Stonemason,Tailleur de pierre,Cincelador,Steinmetz,Tagliapietre,Pedreiro,Pedreiro,Каменщик,Kamieniarz,Steenhouwer,Stenhuggare,Steinhugger,Kőfaragó,Kivenhakkaaja
PROFESSION.STONEMASON.VERB,,Sculpting,Sculptant,Esculpiendo,Bearbeitet,Sta lavorando,Talhando,Esculpir,Высекание,Rzeźbić,Steenhouwen,Skulptera,Skulpterer,Követ faragni,Kivenhakkuu
PROFESSION.STONEMASON.TOOLTIP,,Crafts furniture and items from stone.,,,,,,,,,,,,,
PROFESSION.TINKERER.FEMALE_NOUN,,Tinker,Bricoleuse,Hojalatera,Kesselflickerin,Stagnaia,Engenhoqueira,Consertadora,Механик,Majsterka,Vakvrouw,Tennsmed,Reparatør,Bádogos,Kelloseppä
PROFESSION.TINKERER.MALE_NOUN,,Tinker,Bricoleur,Hojalatero,Kesselflicker,Stagnaio,Engenhoqueiro,Consertador,Механик,Majster,Vakman,Tennsmed,Reparatør,Bádogos,Kelloseppä
PROFESSION.TINKERER.VERB,,Tinkering,Bricolant,Fabricando,Flickt,Sta riparando,Fabricando,Consertar,Производство,Majstrować,Repareren,Lappa,Reparerer,Megfoltozni,Korjaaminen
PROFESSION.VILLAGER.FEMALE_NOUN,,Villager,Villageoise,Aldeana,Dorfbewohnerin,Abitante del villaggio,Aldeã,Aldeã,Крестьянка,Wieśniaczka,Dorpeling,Bybo,Landsbyboer,Paraszt,Kyläläinen
PROFESSION.VILLAGER.MALE_NOUN,,Villager,Villageois,Aldeano,Dorfbewohner,Abitante del villaggio,Aldeão,Aldeão,Крестьянин,Wieśniak,Dorpeling,Bybo,Landsbyboer,Paraszt,Kyläläinen
PROFESSION.VILLAGER.VERB,,Working,Travaillant,Trabajando,Arbeitet,Sta lavorando,Trabalhando,Trabalhar,Работа,Pracować,Werken,Arbeta,Arbeider med,Dolgozni,Työnteko
PROFESSION.VILLAGER.TOOLTIP,,This settler does not have any specific professions and will fulfil any mundane tasks like hauling items.,,,,,,,,,,,,,
PROFESSION.WOODCUTTER.FEMALE_NOUN,This could be “lumberjack” and “lumberjane”,Woodcutter,Scieuse,Leñadora,Holzfällerin,Taglialegna,Lenhadora,Lenhadora,Резчица по дереву,Drwalka,Houthakker,Skogshuggare,Tømmerhogger,Favágó,Puunhakkaaja
PROFESSION.WOODCUTTER.MALE_NOUN,,Woodcutter,Scieur,Leñador,Holzfäller,Taglialegna,Lenhador,Lenhador,Резчик по дереву,Drwal,Houthakker,Skogshuggare,Tømmerhogger,Favágó,Puunhakkaaja
PROFESSION.WOODCUTTER.VERB,,Chopping,Coupant,Talando,Fällt,Sta tagliando,Cortando,Cortar lenha,Вырезание,Ścinać,Houthakken,Hugga,Hugger,Fát vágni,Puunhakkuu
PROFESSION.WOODCUTTER.TOOLTIP,,Cuts down trees as lumber that can be used in a {{ROOMS.SAWMILL}}.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
QUOTA.FIXED_AMOUNT,,in total,,,,,,,,,,,,,
QUOTA.PER_SETTLER,,per settler,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RACE.DWARF.FEMALE_ADJECTIVE,,Dwarven,Naine,Enana,zwergische,nana,Enânica,De anã,Гномий,Krasnoludzka,Dwergachtige,Dvärg-,Dverg,Törpe,kääpiöihin kuuluva
RACE.DWARF.FEMALE_NOUN,,Dwarf,Naine,Enana,Zwergin,Nana,Anã,Anã,Гномка,Krasnoludka,Dwerg,Dvärg,Dverg,Törpe,Kääpiö
RACE.DWARF.FEMALE_PLURAL,,Dwarves,Naines,Enanas,Zwerge,Nane,Anãs,Anãs,Гномы,Krasnoludki,Dwergen,Dvärgar,Dverger,Törpék,Kääpiöt
RACE.DWARF.MALE_ADJECTIVE,,Dwarven,Nain,Enano,zwergischer,nano,Enânico,De anão,Гномий,Krasnoludzki,Dwergachtige,Dvärg-,Dverg,Törpe,kääpiöihin kuuluva
RACE.DWARF.MALE_NOUN,The male and female forms are only for languages that need them,Dwarf,Nain,Enano,Zwerg,Nano,Anão,Anão,Гном,Krasnolud,Dwerg,Dvärg,Dverg,Törpe,Kääpiö
RACE.DWARF.MALE_PLURAL,Note that I'm going with Tolkein's spelling of “dwarves” rather than “dwarfs”,Dwarves,Nains,Enanos,Zwerge,Nani,Anões,Anões,Гномы,Krasnoludy,Dwergen,Dvärgar,Dverger,Törpék,Kääpiöt
RACE.DWARF.TOOLTIP,,Dwarves are short and stocky humanoids. They are masters of working with stone and metal. Most dwarves distrust the sky and prefer to stay underground.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RESOURCE.GRAIN.SACK.NOUN,,Grain (sack),,,,,,,,,,,,,
RESOURCE.GRAIN.SACK.PLURAL,,Grain (sack),,,,,,,,,,,,,
RESOURCE.WHEAT.SACK.NOUN,,Wheat (sack),,,,,,,,,,,,,
RESOURCE.WHEAT.SACK.PLURAL,,Wheat (sack),,,,,,,,,,,,,
RESOURCE.FLOUR.SACK.NOUN,,Flour,,,,,,,,,,,,,
RESOURCE.FLOUR.SACK.PLURAL,,Flour,,,,,,,,,,,,,
RESOURCE.FLOUR.SACK.TOOLTIP,,Grain that has been milled into a fine powder ready to be used as an ingredient in the production of food.,,,,,,,,,,,,,
RESOURCE.GEM.NOUN,,Gem,Gemme,Gema,Edelstein,Gemma,de gema,Joia,Самоцвет,Klejnot,Edelsteen,Ädelsten,Juvel,Drágakő,Jalokivi
RESOURCE.GEM.PLURAL,,Gems,Gemmes,Gemas,Edelsteine,Gemme,Gemas,Joias,Самоцветы,Klejnoty,Edelstenen,Ädelstenar,Juveler,Drágakövek,Jalokivet
RESOURCE.GEM.TOOLTIP,,Gems that have been cut and polished to enhance their beauty. Most commonly used as ornamentation.,,,,,,,,,,,,,
RESOURCE.GEMS.UNREFINED.NOUN,,Uncut gem,Gemme brute,Gema en bruto,Rohedelstein,Gemma grezza,Gema bruta,Joia bruta,Необработанный самоцвет,Nieoszlifowany klejnot,Ruwe edelsteen,Oslipad ädelsten,Uslepen juvel,Csiszolatlan drágakő,Hiomaton jalokivi
RESOURCE.GEMS.UNREFINED.PLURAL,,Uncut gems,Gemmes brutes,Gemas en bruto,Rohedelsteine,Gemme grezze,Gemas brutas,Joias brutas,Необработанные самоцветы,Nieoszlifowane klejnoty,Ruwe edelstenen,Oslipade ädelstenar,Uslepne juveler,Csiszolatlan drágakövek,Hiomattomat jalokivet
RESOURCE.GEMS.UNREFINED.TOOLTIP,,A hunk of rock containing gems ready to be cut and polished.,,,,,,,,,,,,,
RESOURCE.LOGS.NOUN,,Log,Bûche,Tronco,Stamm,Tronco,Tronco,Tronco,Бревно,Pień,Houtblok,Stock,Tømmerstokk,Farönk,Hirsi
RESOURCE.LOGS.PLURAL,,Logs,Bûches,Troncos,Stämme,Tronchi,Troncos,Troncos,Бревна,Pnie,Houtblokken,Stockar,Tømmerstokker,Farönkök,Hirret
RESOURCE.LOGS.TOOLTIP,,"Sections of a tree that are most commonly prepared into {{RESOURCE.PLANKS.PLURAL}}, but have other uses as well.",,,,,,,,,,,,,
RESOURCE.MUSHROOM.LUMBER.NOUN,,Mushroom log,,,,,,,,,,,,,
RESOURCE.MUSHROOM.LUMBER.PLURAL,,Mushroom logs,,,,,,,,,,,,,
RESOURCE.MUSHROOM.LUMBER.TOOLTIP,,Sections of a giant mushroom that can be used in the same way as wooden {{RESOURCE.LOGS.PLURAL}}.,,,,,,,,,,,,,
RESOURCE.METAL.INGOT.NOUN,,Ingot,Lingot,Lingote,Barren,Lingotto,Lingote,Lingote,Слиток,Sztabka,Staaf,Tacka,Barre,Öntvény,Harkko
RESOURCE.METAL.INGOT.PLURAL,,Ingots,Lingots,Lingotes,Barren,Lingotti,Lingotes,Lingotes,Слитки,Sztabki,Staven,Tackor,Barrer,Öntvények,Harkot
RESOURCE.METAL.INGOT.TOOLTIP,,"Refined metal blocks, ready to be used as a crafting ingredient.",,,,,,,,,,,,,
RESOURCE.METAL.PLATE.NOUN,,Plate,,,,,,,,,,,,,
RESOURCE.METAL.PLATE.PLURAL,,Plates,,,,,,,,,,,,,
RESOURCE.METAL.PLATE.TOOLTIP,,"Large, flat plates that are used in some of the larger machinery.",,,,,,,,,,,,,
RESOURCE.METAL.BLOOM.NOUN,,Bloom,,,,,,,,,,,,,
RESOURCE.METAL.BLOOM.PLURAL,,Blooms,,,,,,,,,,,,,
RESOURCE.METAL.BLOOM.TOOLTIP,,A lump of metal mixed with slag which must be hammered into a usable form.,,,,,,,,,,,,,
RESOURCE.ORE.UNREFINED.NOUN,,Ore,Minerai,Mineral,Erzbrocken,Minerale grezzo,Minério,Minério,Руда,Ruda,Erts,Mineral,Malm,Érc,Malmi
RESOURCE.ORE.UNREFINED.PLURAL,,Ore,Minerais,Minerales,Erzbrocken,Minerali grezzi,Minérios,Minérios,Руды,Rudy,Ertsen,Mineraler,Malm,Ércek,Malmit
RESOURCE.ORE.UNREFINED.TOOLTIP,,Stone that contains metallic ores which can be processed into usable metal.,,,,,,,,,,,,,
RESOURCE.ORE.CRUSHED.NOUN,,Crushed ore,,,,,,,,,,,,,
RESOURCE.ORE.CRUSHED.PLURAL,,Crushed ore,,,,,,,,,,,,,
RESOURCE.ORE.CRUSHED.TOOLTIP,,"A metallic sand created by breaking down raw metal ore, ready for use in a {{FURNITURE.BLOOMERY_FURNACE}}.",,,,,,,,,,,,,
RESOURCE.CRUSHED.VITRIOL.NOUN,,Vitriol,,,,,,,,,,,,,
RESOURCE.CRUSHED.VITRIOL.PLURAL,,Vitriol,,,,,,,,,,,,,
RESOURCE.CRUSHED.VITRIOL.TOOLTIP,,A salt of sulphuric acid with many uses in industry. (Usages of vitriol are not yet implemented in King under the Mountain),,,,,,,,,,,,,
RESOURCE.PLANKS.NOUN,,Plank,Planche,Tabla,Brett,Asse,Tábua,Tábua,Доска,Deska,Plank,Planka,Planke,Deszka,Lankku
RESOURCE.PLANKS.PLURAL,,Planks,Planches,Tablas,Bretter,Assi,Tábuas,Tábuas,Доски,Deski,Planken,Plankor,Planker,Deszkák,Lankut
RESOURCE.PLANKS.TOOLTIP,,Sections of wood of a fixed size so they can be easily used in constructions and crafting.,,,,,,,,,,,,,
RESOURCE.STONE.BLOCK.NOUN,,Block,Bloc,Bloque,Block,Blocco,Bloco,Bloco,Блок,Blok,Blok,Block,Blokk,Kőtömb,Tiili
RESOURCE.STONE.BLOCK.PLURAL,,Blocks,Blocs,Bloques,Blöcke,Blocchi,Blocos,Blocos,Блоки,Bloki,Blokken,Block,Blokker,Kőtömbök,Tiilet
RESOURCE.STONE.BLOCK.TOOLTIP,,Stone that has been shaped into a cube so that is can be easily used in construction or crafting.,,,,,,,,,,,,,
RESOURCE.STONE.UNREFINED.NOUN,,Rough stone boulder,Rocher brut,Peñasco,Steinbrocken,Blocco di pietra grezza,Pedregulho de pedra bruta,Pedregulho de pedra bruta,Грубый валун,Nieociosany głaz,Rotsblok,Grovt stenblock,Upolert kampestein,Csiszolatlan kőtömb,Kivilohkare
RESOURCE.STONE.UNREFINED.PLURAL,,Rough stone boulders,Rochers bruts,Peñascos,Steinbrocken,Blocchi di pietra grezza,Pedregulhos de pedra bruta,Pedregulhos de pedra bruta,Грубые валуны,Nieociosane głazy,Rotsblokken,Grova stenblock,Upolerte kampesteiner,Csiszolatlan kőtömbök,Kivilohkareet
RESOURCE.STONE.UNREFINED.TOOLTIP,,A huge piece of stone that must be chiselled into a more useful shape by a {{PROFESSION.STONEMASON}}.,,,,,,,,,,,,,
RESOURCE.MUSHROOM.LOG.NOUN,,Mushroom log,,,,,,,,,,,,,
RESOURCE.MUSHROOM.LOG.PLURAL,,Mushroom logs,,,,,,,,,,,,,
RESOURCE.MUSHROOM.LOG.TOOLTIP,,A log that has been infused with {{INGREDIENT.MUSHROOM.SPAWN.NOUN}}. The body of the log itself is where the mushrooms draw nutrients from. It requires dousing in a {{FURNITURE.MUSHROOM_SHOCK_TANK}} after becoming fully innoculated.,,,,,,,,,,,,,
RESOURCE.SHOCKED.MUSHROOM.LOG.NOUN,,Mushroom log,,,,,,,,,,,,,
RESOURCE.SHOCKED.MUSHROOM.LOG.PLURAL,,Mushroom logs,,,,,,,,,,,,,
RESOURCE.SHOCKED.MUSHROOM.LOG.TOOLTIP,,This mushroom-infused log has been “shocked” in water to encourage the mushrooms to develop and should produce a harvest soon.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ROOMS.BEDROOM,,Bedroom,Chambre,Dormitorio,Schlafzimmer,Camera da letto,Dormitório,Quarto,Спальня,Sypialnia,,,,,
ROOMS.BEDROOM.TOOLTIP,,"A place for your settlers to sleep. They prefer to have individual bedrooms that are at least 9 tiles in size, and preferably at least 13 tiles in size.",,,,,,,,,,,,,
ROOMS.BREWERY,,Brewery,,,,,,,,,,,,,
ROOMS.BREWERY.TOOLTIP,,Brews beer for your settlers to enjoy! Other alcoholic beverages will be implemented in the future.,,,,,,,,,,,,,
ROOMS.CARPENTRY_WORKSHOP,,Carpentry workshop,Menuiserie,Taller de carpintería,Schreinerei,Falegnameria,Oficina de carpintaria,Oficina de carpintaria,Мастерская плотника,Warsztat stolarski,Timmerwerkplaats,Snickarbod,Snekkerverksted,Ács,Puusepän verstas
ROOMS.CARPENTRY_WORKSHOP.TOOLTIP,,This workshop produces most wooden tools and items.,,,,,,,,,,,,,
ROOMS.FARM,,Farm plot,Parcelle,Huerto,Feld,Campo da coltivare,Fazenda,Parcela de cultivo,Огород,Działka rolna,,,,,
ROOMS.FARM.PLURAL,,Farm plots,,,,,,,,,,,,,
ROOMS.FARM.TOOLTIP,,Grows crops using {{INGREDIENT.SEEDS.PLURAL}}. Must be placed on {{MATERIAL_TYPE.EARTH.NOUN}}.,,,,,,,,,,,,,
ROOMS.KITCHEN,,Kitchen,Cuisine,Cocina,Küche,Cucina,Cozinha,Cozinha,Кухня,Kuchnia,,,,,
ROOMS.KITCHEN.TOOLTIP,,Most food is prepared here before being served in a {{ROOMS.FEASTING_HALL}}.,,,,,,,,,,,,,
ROOMS.MASONRY_WORKSHOP,,Masonry workshop,Carrière,Taller de albañilería,Maurerei,Cantiere,Oficina de pedreiro,Oficina de alvenaria,Мастерская каменщика,Warsztat murarski,Steenhouwerij,Murarverkstad,Steinhuggerverksted,Kőfaragó,Kivenhakkaajan verstas
ROOMS.MASONRY_WORKSHOP.TOOLTIP,,This workshop produces most items made out of stone.,,,,,,,,,,,,,
ROOMS.METALWORKS,,Metalworks,,,,,,,,,,,,,
ROOMS.METALWORKS.TOOLTIP,,Metal ore is refined and used in crafting here.,,,,,,,,,,,,,
ROOMS.SAWMILL,,Sawmill,Scierie,Aserradero,Sägewerk,Segheria,Madeireira,Serraria,Лесопилка,Tartak,Houtzagerij,Såg,Sagbruk,Fűrészmalom,Saha
ROOMS.SAWMILL.TOOLTIP,,Wooden {{RESOURCE.LOGS.PLURAL}} are refined into {{RESOURCE.PLANKS.PLURAL}} here.,,,,,,,,,,,,,
ROOMS.STOCKPILES,,Stockpiles,Réserves,Reservas,Lager,Magazzini,Estocagens,Reservas,Склады,Skład,,,,,
ROOMS.STOCKPILES.TOOLTIP,,Unused items are placed in stockpiles for easy access.,,,,,,,,,,,,,
ROOMS.FEASTING_HALL,,Feasting hall,Salle de festin,Comedor ,Speisesaal ,Sala delle feste,Refeitório ,Refeitório ,Праздничный зал,Święto Hall,,,,,
ROOMS.FEASTING_HALL.TOOLTIP,,"A place for settlers to gather to eat, drink and be merry!",,,,,,,,,,,,,
ROOMS.MUSHROOM_FARM,,Mushroom farm,,,,,,,,,,,,,
ROOMS.MUSHROOM_FARM.TOOLTIP,,Mushrooms can be grown using {{INGREDIENT.MUSHROOM.SPAWN.NOUN}} and wooden {{RESOURCE.LOGS.PLURAL}}.,,,,,,,,,,,,,
ROOMS.BRIDGE,,Bridge,,,,,,,,,,,,,
ROOMS.BRIDGE.TOOLTIP,,Placed across the river to allow access to the other side.,,,,,,,,,,,,,
ROOMS.GRAVEYARD,,Graveyard,,,,,,,,,,,,,
ROOMS.GRAVEYARD.TOOLTIP,,Deceased settlers are laid to rest here.,,,,,,,,,,,,,
ROOMS.EARTHWORKS,,Earthworks,,,,,,,,,,,,,
ROOMS.EARTHWORKS.TOOLTIP,,An outdoor area for large constructions.,,,,,,,,,,,,,
ROOMS.STOCKPILE,,Stockpile,,,,,,,,,,,,,
ROOMS.STOCKPILE.TOOLTIP,,This area stores different kinds of items depending on settings.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ROOMS.COMPONENT.STOCKPILE.DESCRIPTION,,{{allocated}} of {{total}} spaces currently in use,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RUSTED_SCRAP.NOUN,,Scrap,,,,,,,,,,,,,
RUSTED_SCRAP.TOOLTIP,,These are the remains of an item that has completed corroded due to rust.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SEASON.AUTUMN,,Autumn,Automne,Otoño,Herbst,Autunno,Outono,Outono,Осень,Jesień,Herfst,Höst,Høst,Ősz,Syksy
SEASON.SPRING,,Spring,Printemps,Primavera,Frühling,Primavera,Primavera,Primavera,Весна,Wiosna,Lente,Vår,Vår,Tavasz,Kevät
SEASON.SUMMER,,Summer,Été,Verano,Sommer,Estate,Verão,Verão,Лето,Lato,Zomer,Sommar,Sommer,Nyár,Kesä
SEASON.WINTER,,Winter,Hiver,Invierno,Winter,Inverno,Inverno,Inverno,Зима,Zima,Winter,Vinter,Vinter,Tél,Talvi
,,,,,,,,,,,,,,,
SEED.BARLEY_SEED,,Barley,Orge,de cebada,Gersten,Orzo,Cevada,Cevada,Ячмень,Jęczmień,,,,,
SEED.BARLEY_SEED.TOOLTIP,{{VEGETABLE.BARLEY.TOOLTIP}},"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
SEED.CARROT_SEED,,Carrot,Carotte,de zanahoria,Karotten,Carota,Cenoura,Cenoura,Морковь,Marchewka,,,,,
SEED.CARROT_SEED.TOOLTIP,{{VEGETABLE.CARROT.TOOLTIP}},"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
SEED.CORN_SEED,,Corn,Maïs,de maíz,Mais,Mais,Milho,Milho,Кукуруза,Kukurydza,,,,,
SEED.CORN_SEED.TOOLTIP,{{VEGETABLE.CORN.TOOLTIP}},"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",,,,,,,,,,,,,
SEED.HOPS_SEED,,Hops,Houblon,de lúpulo,Hopfen,Luppolo,Lúpulo,Lúpulo,Хмель,Chmiel,,,,,
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,,,,,,,,,,,,,
SEED.POTATO_SEED,,Potato,Pomme de terre,de patata,Kartoffel,Patata,Batata,Batata,Картофель,Ziemniak,,,,,
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
SEED.TOMATO_SEED,,Tomato,Tomate,de tomate,Tomaten,Pomodoro,Tomate,Tomate,Помидоры,Pomidor,,,,,
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,,,,,,,,,,,,,
SEED.WHEAT_SEED,,Wheat,Blé,de trigo,Weizen,Grano,Trigo,Trigo,Пшеница,Pszenica,,,,,
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",,,,,,,,,,,,,
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,,,,,,,,,,,,,
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",,,,,,,,,,,,,
SEED.DEATH_CAP_SPAWN,,Death cap,,,,,,,,,,,,,
SEED.DEATH_CAP_SPAWN.TOOLTIP,{{VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP}},"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",,,,,,,,,,,,,
SEED.FIST_SPAWN,,Fist,,,,,,,,,,,,,
SEED.FIST_SPAWN.TOOLTIP,{{VEGETABLE.FIST_MUSHROOM.TOOLTIP}},A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,,,,,,,,,,,,,
SEED.BERSERKER_MUSHROOM_SPAWN,,Berserker,,,,,,,,,,,,,
SEED.BERSERKER_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP}},A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,,,,,,,,,,,,,
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,,,,,,,,,,,,,
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,,,,,,,,,,,,,
SEED.MILTONIA_SPAWN,,Miltonia,,,,,,,,,,,,,
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.",,,,,,,,,,,,,
SEED.ELFSBANE_SPAWN,,Elfsbane,,,,,,,,,,,,,
