KEY,NOTES,ENGLISH,PORTUGUESE
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,Um cogumelo com uma tampa rosa-vermelha com manchas brancas. Tem propriedades alucinógenas que os guerreiros às vezes usam na preparação para a batalha.
VEGETABLE.CARROT,,Carrot,Cenoura
VEGETABLE.CARROT.PLURAL,,Carrots,Cenouras
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Um vegetal de raiz resistente que sobrevive à geada {{SEASON.WINTER}}. As cenouras crescem rapidamente, mas apenas produzem uma pequena colheita. Pode ser plantada em {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTUMN}}."
VEGETABLE.CORN,,Sweetcorn,Milho doce
VEGETABLE.CORN.PLURAL,,Sweetcorn,Milho doce
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","Um grão de cereais também conhecido como milho. Produz uma colheita abundante, mas leva cerca de 2 estações para crescer e não pode sobreviver {{SEASON.WINTER}}, então requer plantio no início {{SEASON.SPRING}}."
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,Cogumelo de morte
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,Cogumelos de morte
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.",Um cogumelo muito venenoso com uma tampa larga e plana. Comer até mesmo uma pequena quantidade quase certamente causará envenenamento que pode levar à morte.
VEGETABLE.DRAGONFRUIT,,Dragonfruit,Fruta de dragão
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,Frutas de dragão
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,Cogumelo Elfsbane
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,Cogumelos de Elfsbane
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Este cogumelo tem um sabor simples e sem sabor para a maioria dos humanóides. Estranhamente, tem um gosto absolutamente nojento para os elfos, que muitas vezes reagem com vômitos explosivos ao consumir, ou em casos extremos, um ataque cardíaco."
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,Cogumelo Punho
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,Cogumelos punhos
VEGETABLE.FIST_MUSHROOM.TOOLTIP,,A black-blue mushroom with a metallic taste. It is named for a group of bards from the age of darkness.,Um cogumelo preto-azul com um sabor metálico. É nomeado para um grupo de bardos da era das trevas.
VEGETABLE.GLOW_MUSHROOM,,Glow mushroom,Cogumelo Brilho
VEGETABLE.GLOW_MUSHROOM.PLURAL,,Glow mushrooms,Cogumelos Brilhantes
VEGETABLE.GLOW_MUSHROOM.TOOLTIP,,A magic-infused mushroom that gives off light and changes colour with the seasons.,Um cogumelo com infusão de magia que emite luz e muda de cor com as estações.
VEGETABLE.HOPS,,Hops,Lúpulo
VEGETABLE.HOPS.PLURAL,,Hops,Lúpulo
VEGETABLE.HOPS.TOOLTIP,,A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,Uma flor usada para o sabor da cerveja. Deve ser plantado em {{SEASON.SPRING}}.
VEGETABLE.LOQUAT,,Loquat,Nespereira
VEGETABLE.LOQUAT.PLURAL,,Loquats,Loquats
VEGETABLE.MILTONIA_MUSHROOM,,Miltonia mushroom,Cogumelo Miltonia
VEGETABLE.MILTONIA_MUSHROOM.PLURAL,,Miltonia mushrooms,Cogumelos Miltonia
VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP,,"Once thought to exist only in the Hudds region, it is now found throughout the world.","Uma vez que se pensa existir apenas na região de Hudds, ela é agora encontrada em todo o mundo."
VEGETABLE.POTATO,,Potato,Batata
VEGETABLE.POTATO.PLURAL,,Potatoes,Batatas
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Um vegetal de raiz amido que pode sobreviver {{SEASON.WINTER}} tornando-o uma boa escolha para a maioria dos assentamentos. Pode ser plantada em {{SEASON.SPRING}}, {{SEASON.SUMMER}} ou {{SEASON.AUTUMN}}."
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,Cogumelo de capacete roxo
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,Cogumelos de capacete roxo
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.","Gordo Hat, Turbante Gordo, Capacete Puffy; Este cogumelo lendário passa por muitos nomes. A lenda afirma que há muito tempo, muitas comunidades de anões subsistiram inteiramente em uma estirpe domesticada deste fungo."
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,Cogumelo Rociomycota
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,Cogumelos Rociomycota
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,Um cogumelo branco e preto manchado. Sabe-se que afecta a aparência daqueles que o ingerem.
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,Cogumelo Sunglow
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,Cogumelos Sunglow
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,Um cogumelo amarelo brilhante que brilha com a aparência da luz solar. Perde este brilho no momento em que é colhida.
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom,Cogumelo em pó de xarope
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms,Cogumelos em pó de xarope
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.","Um cogumelo laranja/amarelo redondo com uma parte inferior branca. Dizem que foi usado por magos há muito tempo, mas para que propósito, ninguém sabe."
VEGETABLE.TAMARILLO,,Tamarillo,Tamarillo
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,Tamarillos
VEGETABLE.THIMBLEBERRY,,Thimbleberry,Thimbleberry
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,Bagas de dedais
VEGETABLE.TOMATO,,Tomato,Tomate
VEGETABLE.TOMATO.PLURAL,,Tomatoes,Tomates
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,Uma planta que cresce grandes bagas vermelhas muitas vezes usado como um vegetal. Só pode ser plantada em {{SEASON.SPRING}}.
VEGETABLE.WHEAT,,Wheat,Trigo
VEGETABLE.WHEAT.PLURAL,,Wheat,Trigo
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","Um grão de cereais geralmente usado para a produção de pão. Ela pode sobreviver a {{SEASON.WINTER}}, mas leva um tempo para crescer, então é plantada em {{SEASON.SPRING}} ou {{SEASON.AUTUMN}}."

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green,Verde
VITRIOL.GREEN_VITRIOL.NOUN,,Green,Verde
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)","Também conhecido como sulfato de ferro, este sal tem vários usos, incluindo como aditivo do solo para melhorar a agricultura agrícola. (Usos de vitriol ainda não foram implementados no Rei sob a Montanha)"

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}},{{materialType.adjective}} {{wallType.noun}}
WALL.GEMS.NOUN,,Gems,Joias
WALL.ORE.NOUN,,Ore,Minério
WALL.ROUGH_STONE.NOUN,,Rock wall,Muro de pedra
WALL.STONE_BLOCK.NOUN,,Smooth stone wall,Muro de pedra suave
WALL.WOODEN.NOUN,,Wood wall,Muro de madeira

WOOD.ASPEN.ADJECTIVE,,Aspen,Aspen
WOOD.ASPEN.NOUN,,Aspen,Aspen
WOOD.BAOBAB.ADJECTIVE,,Baobab,Baobá
WOOD.BAOBAB.NOUN,,Baobab,Baobá
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,Barkshroom
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,Barkshroom
WOOD.BEECH.ADJECTIVE,,Beech,De faia
WOOD.BEECH.NOUN,,Beech,Faia
WOOD.BIRCH.ADJECTIVE,,Birch,De bétula
WOOD.BIRCH.NOUN,,Birch,Bétula
WOOD.EBONY.ADJECTIVE,,Ebony,Ébano
WOOD.EBONY.NOUN,,Ebony,Ébano
WOOD.FIR.ADJECTIVE,,Fir,De abeto
WOOD.FIR.NOUN,,Fir,Abeto
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,Floresta de Fungiwood
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,Floresta de Fungiwood
WOOD.IRONWOOD.ADJECTIVE,,Ironwood,Madeira de Ferro
WOOD.IRONWOOD.NOUN,,Ironwood,Madeira de Ferro
WOOD.MAPLE.ADJECTIVE,,Maple,De ácer
WOOD.MAPLE.NOUN,,Maple,Ácer
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia,Nutsia
WOOD.NUYTSIA.NOUN,,Nuytsia,Nutsia
WOOD.OAK.ADJECTIVE,,Oaken,De carvalho
WOOD.OAK.NOUN,,Oak,Carvalho
WOOD.PECAN.ADJECTIVE,,Pecan,Pecã
WOOD.PECAN.NOUN,,Pecan,Pecã
WOOD.PINE.ADJECTIVE,,Pine,De pinheiro
WOOD.PINE.NOUN,,Pine,Pinheiro
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar,Cedro vermelho
WOOD.RED_CEDAR.NOUN,,Red cedar,Cedro vermelho
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor,Imperador vermelho
WOOD.RED_EMPEROR.NOUN,,Red emperor,Imperador vermelho
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood,Rosewood
WOOD.ROSEWOOD.NOUN,,Rosewood,Rosewood
WOOD.SPRUCE.ADJECTIVE,,Spruce,- Abeto
WOOD.SPRUCE.NOUN,,Spruce,- Abeto
WOOD.STAR_PINE.ADJECTIVE,,Star pine,Pinheiro estrela
WOOD.STAR_PINE.NOUN,,Star pine,Pinheiro estrela
WOOD.SYCAMORE.ADJECTIVE,,Sycamore,Sicômoro
WOOD.SYCAMORE.NOUN,,Sycamore,Sicômoro
