KEY,NOTES,ENGLISH,JAPANESE
VEGETABLE.POTATO.TOOLTIP,,"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",{{SEASON.WINTER}} 生き残ることができるデンプン質の根菜で、ほとんどの集落に適しています。 {{シーズン春夏}}、{シーズン夏}、{シーズン秋夏}} に植えられる。
VEGETABLE.PURPLE_HELMET_MUSHROOM,,Purple helmet mushroom,マッシュルーム
VEGETABLE.PURPLE_HELMET_MUSHROOM.PLURAL,,Purple helmet mushrooms,マッシュルーム
VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP,,"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",太った帽子、ふっくらターバン、ふわふわヘルメット。この伝説のキノコは、多くの名前で行きます。 伝説は、ずっと前に、ドワーフの多くのコミュニティは、この真菌の飼いならされた株に完全に住んだことを保持しています。
VEGETABLE.ROCIOMYCOTA_MUSHROOM,,Rociomycota mushroom,マッシュルーム
VEGETABLE.ROCIOMYCOTA_MUSHROOM.PLURAL,,Rociomycota mushrooms,マッシュルーム
VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP,,A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,白と黒の斑点きのこ。 それを摂取する人々の外観に影響を与えることが知られている。
VEGETABLE.SUNGLOW_MUSHROOM,,Sunglow mushroom,サングローマッシュルーム
VEGETABLE.SUNGLOW_MUSHROOM.PLURAL,,Sunglow mushrooms,サングローマッシュルーム
VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP,,A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,太陽の光で輝く明るい黄色のキノコ。 収穫された瞬間にこの輝きを失います。
VEGETABLE.SYRUP_POWDER_MUSHROOM,,Syrup powder mushroom,シロップパウダーマッシュルーム
VEGETABLE.SYRUP_POWDER_MUSHROOM.PLURAL,,Syrup powder mushrooms,シロップパウダーキノコ
VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP,,"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",白い下面を持つ丸いオレンジ/黄色のキノコ。 昔、魔道者によって使われてきたと言われていますが、どんな目的のためにも、誰も知りません。
VEGETABLE.TAMARILLO,,Tamarillo,タマリロ
VEGETABLE.TAMARILLO.PLURAL,,Tamarillos,タマリロス
VEGETABLE.THIMBLEBERRY,,Thimbleberry,シンブルベリー
VEGETABLE.THIMBLEBERRY.PLURAL,,Thimbleberries,シンブルベリー
VEGETABLE.TOMATO,,Tomato,トマト
VEGETABLE.TOMATO.PLURAL,,Tomatoes,トマトだ
VEGETABLE.TOMATO.TOOLTIP,,A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,野菜としてよく使われる大きな赤い果実を育てる植物。 {{シーズンスプリング}} にのみ植えることができる。
VEGETABLE.WHEAT,,Wheat,小麦
VEGETABLE.WHEAT.PLURAL,,Wheat,小麦
VEGETABLE.WHEAT.TOOLTIP,,"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",穀物の穀物は、一般的にパンの生産に使用されます。 {{シーズン.冬}} は生き残ることができますが、成長にはしばらく時間がかかるので、{{シーズン.スプリング}} または {{シーズン.AUTUMN} に植えられます。

VITRIOL.GREEN_VITRIOL.ADJECTIVE,,Green,緑
VITRIOL.GREEN_VITRIOL.NOUN,,Green,緑
VITRIOL.GREEN_VITRIOL.TOOLTIP,,"Also known as iron sulfate, this salt has several uses, including as a soil additive to improve crop farming. (Usages of vitriol are not yet implemented in King under the Mountain)",硫酸鉄としても知られるこの塩は、作物農業を改善するための土壌添加剤として含め、いくつかの用途を有する。 （硝酸塩の使用は、まだ山の下の王に実装されていません）

WALL.DESCRIPTION,"E.g. “Granite rock wall”, “Granite smooth stone wall”",{{materialType.adjective}} {{wallType.noun}},{{furnitureType.noun}}} {{ウォールタイプ.名詞}}
WALL.GEMS.NOUN,,Gems,宝石
WALL.ORE.NOUN,,Ore,鉱石
WALL.ROUGH_STONE.NOUN,,Rock wall,ロックウォール
WALL.STONE_BLOCK.NOUN,,Smooth stone wall,滑らかな石の壁。
WALL.WOODEN.NOUN,,Wood wall,木造壁

WOOD.ASPEN.ADJECTIVE,,Aspen,ポプラ
WOOD.ASPEN.NOUN,,Aspen,ポプラ
WOOD.BAOBAB.ADJECTIVE,,Baobab,バオバブ
WOOD.BAOBAB.NOUN,,Baobab,バオバブ
WOOD.BARKSHROOM.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,バークシュルーム
WOOD.BARKSHROOM.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Barkshroom,バークシュルーム
WOOD.BEECH.ADJECTIVE,,Beech,ブナ
WOOD.BEECH.NOUN,,Beech,ブナ
WOOD.BIRCH.ADJECTIVE,,Birch,カバ
WOOD.BIRCH.NOUN,,Birch,カバ
WOOD.EBONY.ADJECTIVE,,Ebony,黒檀
WOOD.EBONY.NOUN,,Ebony,黒檀
WOOD.FIR.ADJECTIVE,,Fir,モミ
WOOD.FIR.NOUN,,Fir,モミ
WOOD.FUNGIWOOD.ADJECTIVE,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,ファンザイウッド
WOOD.FUNGIWOOD.NOUN,This is a made-up fantasy wood that comes from giant mushrooms,Fungiwood,ファンザイウッド
WOOD.IRONWOOD.ADJECTIVE,,Ironwood,アイアンウッド
WOOD.IRONWOOD.NOUN,,Ironwood,アイアンウッド
WOOD.MAPLE.ADJECTIVE,,Maple,メープル
WOOD.MAPLE.NOUN,,Maple,メープル
WOOD.NUYTSIA.ADJECTIVE,,Nuytsia,ヌイシア
WOOD.NUYTSIA.NOUN,,Nuytsia,ヌイシア
WOOD.OAK.ADJECTIVE,,Oaken,オーク
WOOD.OAK.NOUN,,Oak,オーク
WOOD.PECAN.ADJECTIVE,,Pecan,ピーカン
WOOD.PECAN.NOUN,,Pecan,ピーカン
WOOD.PINE.ADJECTIVE,,Pine,松
WOOD.PINE.NOUN,,Pine,松
WOOD.RED_CEDAR.ADJECTIVE,,Red cedar,赤杉
WOOD.RED_CEDAR.NOUN,,Red cedar,赤杉
WOOD.RED_EMPEROR.ADJECTIVE,,Red emperor,赤柏
WOOD.RED_EMPEROR.NOUN,,Red emperor,赤柏
WOOD.ROSEWOOD.ADJECTIVE,,Rosewood,紫檀
WOOD.ROSEWOOD.NOUN,,Rosewood,紫檀
WOOD.SPRUCE.ADJECTIVE,,Spruce,トウヒ
WOOD.SPRUCE.NOUN,,Spruce,トウヒ
WOOD.STAR_PINE.ADJECTIVE,,Star pine,スターパイン
WOOD.STAR_PINE.NOUN,,Star pine,スターパイン
WOOD.SYCAMORE.ADJECTIVE,,Sycamore,プラタナス
WOOD.SYCAMORE.NOUN,,Sycamore,プラタナス
