KEY,NOTES,ENGLISH,SIMPLIFIED CHINESE
SEED.HOPS_SEED.TOOLTIP,{{VEGETABLE.HOPS.TOOLTIP}},A flower used for the flavouring of beer. Must be planted in {{SEASON.SPRING}}.,能为啤酒增添风味的花。必须在{{SEASON.SPRING}}播种。
SEED.MILTONIA_SPAWN,,Miltonia,堇花兰
SEED.MILTONIA_SPAWN.TOOLTIP,{{VEGETABLE.MILTONIA_MUSHROOM.TOOLTIP}},"Once thought to exist only in the Hudds region, it is now found throughout the world.",最初人们以为这种植物只存在于哈德斯地区，但如今世界各地都能见到。
SEED.POTATO_SEED,,Potato,土豆
SEED.POTATO_SEED.TOOLTIP,{{VEGETABLE.POTATO.TOOLTIP}},"A starchy root vegetable which can survive {{SEASON.WINTER}} making it a good choice for most settlements. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",富含淀粉的根茎类蔬菜，由于在{{SEASON.WINTER}}也能生存，所以对大多数殖民者来说都是不错的选择。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
SEED.PURPLE_HELMET_SPAWN,,Purple helmet,紫盔
SEED.PURPLE_HELMET_SPAWN.TOOLTIP,{{VEGETABLE.PURPLE_HELMET_MUSHROOM.TOOLTIP}},"Fat Hat, Plump Turban, Puffy Helmet; This fabled mushroom goes by many names. Legend holds that long ago, many communities of dwarves subsisted entirely on a domesticated strain of this fungus.",大帽子、蓬松头巾、圆头盔；这种传说中的蘑菇有许多名字。传说很久以前，许多矮人部落都靠种植这种蘑菇维持生活。
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN,,Rociomycota,露菇
SEED.ROCIOMYCOTA_MUSHROOM_SPAWN.TOOLTIP,{{VEGETABLE.ROCIOMYCOTA_MUSHROOM.TOOLTIP}},A white and black spotted mushroom. It has been known to affect the appearance of those who ingest it.,黑白相间且有斑点的蘑菇。据说食用后能影响外表。
SEED.SUNGLOW_SPAWN,,Sunglow,霞菇
SEED.SUNGLOW_SPAWN.TOOLTIP,{{VEGETABLE.SUNGLOW_MUSHROOM.TOOLTIP}},A bright yellow mushroom which glows with the appearance of sunlight. It loses this glow the moment it is harvested.,亮黄色的蘑菇，散发的光宛如阳光。采收后便不会发光。
SEED.SYRUP_POWDER_SPAWN,,Syrup powder,糖浆粉菇
SEED.SYRUP_POWDER_SPAWN.TOOLTIP,{{VEGETABLE.SYRUP_POWDER_MUSHROOM.TOOLTIP}},"A round orange/yellow mushroom with a white underside. It is said to have been used by mages long ago, but for what purpose, nobody knows.",橙色或黄色的圆形蘑菇，底部呈白色。据说很久以前的魔法师会使用这种蘑菇，但具体目的不得而知。
SEED.TOMATO_SEED,,Tomato,番茄
SEED.TOMATO_SEED.TOOLTIP,{{VEGETABLE.TOMATO.TOOLTIP}},A plant which grows large red berries often used as a vegetable. Can only be planted in {{SEASON.SPRING}}.,草本植物，浆果呈红色，多为扁球状或近球状，用作蔬菜食用。仅能在{{SEASON.SPRING}}播种。
SEED.WHEAT_SEED,,Wheat,小麦
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.",通常用来制作面包的谷物。能在{{SEASON.WINTER}}生存，但生长周期较长，所以通常在{{SEASON.SPRING}}或 {{SEASON.AUTUMN}}播种。

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,灌木

STATUS.ALCOHOL_WITHDRAWL,,Alcohol withdrawl,酒精戒断症
STATUS.BLEEDING,,Bleeding,流血
STATUS.BLINDED,,Blind,失明
STATUS.DEATH,,Dead,死亡
STATUS.DRUNK,,Drunk,醉醺醺
STATUS.DYING_OF_HUNGER,,Dying of hunger,饥肠辘辘
STATUS.DYING_OF_THIRST,,Dying of thirst,口干舌燥
STATUS.EXHAUSTED,,Exhausted,疲惫不堪
STATUS.INTERNAL_BLEEDING,,Internal bleeding,内出血
STATUS.KNOCKED_UNCONSCIOUS,,Unconscious,失去意识
STATUS.MOVEMENT_IMPAIRED,,Impaired movement,行动障碍
STATUS.ON_FIRE,,On fire,着火
STATUS.POISONED,,Poisoned,中毒
STATUS.TEMPORARILY_BLINDED,,Temporarily blinded,暂时失明
STATUS.VERY_HUNGRY,,Very hungry,饥饿
STATUS.VERY_THIRSTY,,Very thirsty,口渴

STOCKPILE.GROUP.FOOD,,Food,食物
STOCKPILE.GROUP.FOOD.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,存放会变质的水果和蔬菜。
STOCKPILE.GROUP.FUEL,,Fuel,燃料
STOCKPILE.GROUP.GRANARY,,Granary,粮仓
STOCKPILE.GROUP.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,存放会变质的谷物和种子。
STOCKPILE.GROUP.PRODUCTS,,Products,产品
STOCKPILE.GROUP.RAW_MATERIALS,,Raw materials,原材料
STOCKPILE.GROUP.SEEDS,,Seeds,种子
STOCKPILE.GROUP.TOOLS,,Tools,工具
STOCKPILE.GROUP.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,存放工作所需的器具。
STOCKPILE.GROUP.WEAPONS,,Weapons,武器
STOCKPILE.GROUP.WEAPONS.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,存放会变质的水果和蔬菜。

STONE.BASALT.ADJECTIVE,,Basalt,玄武岩
STONE.BASALT.NOUN,,Basalt,玄武岩
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,岩浆快速冷却形成的火成岩。世界上几乎所有的火山岩都是玄武岩。
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,白云岩
STONE.DOLOSTONE.NOUN,,Dolostone,白云岩
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.",主要由白云石组成的沉积岩，因此而得名。
STONE.FRONITE.ADJECTIVE,,Frónite,冰原石
STONE.FRONITE.NOUN,,Frónite,冰原石
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,呈现蓝色色调的矿石，常见于北方冰雪覆盖的岛屿。具有很高的铁含量。
STONE.GRANITE.ADJECTIVE,,Granite,花岗岩
STONE.GRANITE.NOUN,,Granite,花岗岩
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.",非常常见的火成岩。石英的含量较高，因此非常适合用来定位寻找特定的宝石。
STONE.LIMESTONE.ADJECTIVE,,Limestone,石灰岩
STONE.LIMESTONE.NOUN,,Limestone,石灰岩
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,灰白色的沉积岩，优良的建筑材料。在冶炼{{METAL.STEEL.NOUN}}的工序中也能当作熔剂。
STONE.MARBLE.ADJECTIVE,,Marble,大理石
STONE.MARBLE.NOUN,,Marble,大理石
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,变质岩，凭借出色的外观成为了雕刻和石工的高质量材料。
STONE.SANDSTONE.ADJECTIVE,,Sandstone,砂岩
STONE.SANDSTONE.NOUN,,Sandstone,砂岩
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ","由各种砂粒胶结而成的沉积岩。 "
STONE.SHALE.ADJECTIVE,,Shale,页岩
STONE.SHALE.NOUN,,Shale,页岩
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,由黏土沉积经压力形成的细颗粒沉积岩。很容易断裂成较薄的岩层。
STONE.SLATE.ADJECTIVE,,Slate,板岩
STONE.SLATE.NOUN,,Slate,板岩
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,通常由{{STONE.SHALE.NOUN}}形成的变质岩。通常用来作为屋顶的瓦或书写用的黑板。

TOOL.AXE.NOUN,,Axe,斧头
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,砍伐树木的工具。{{PROFESSION.WOODCUTTER}}的主要工具。
TOOL.CHISEL.NOUN,,Chisel,凿子
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,用来将石料雕塑成型的器具。{{PROFESSION.STONEMASON}}使用的工具之一。
TOOL.FISHING.ROD.NOUN,,Fishing rod,鱼竿
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,钓鱼用具。{{PROFESSION.FISHER}}的主要工具。
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,厨刀
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.",制备食材（尤其肉类）的工具。
TOOL.LARGE.HAMMER.NOUN,,Large hammer,大锤
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,将较大的石料和金属捶打成型的工具。{{PROFESSION.BLACKSMITH}}的主要工具。
TOOL.PICKAXE.NOUN,,Pickaxe,矿镐
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,用来打碎矿石的工具。{{PROFESSION.MiNER}}的主要工具。
TOOL.PLANE.NOUN,A carpenter's plane,Plane,刨子
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,用来修整木制品和家具的工具。{{PROFESSION.CARPENTER}}的主要工具。
TOOL.ROLLING.PIN.NOUN,,Rolling pin,擀面杖
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,用来捻压面团的烹饪工具。{{PROFESSION.CHEF}}使用的工具。
TOOL.SAW.NOUN,A carpenter's saw,Saw,锯子
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,用来切割木头的工具。{{ROOMS.SAWMILL}}用来切割木材的必备工具。
TOOL.SMALL.HAMMER.NOUN,,Hammer,锤子
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,将较小的石料和金属捶打成型的工具。{{PROFESSION.BLACKSMITH}}使用的工具。
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,钳子
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,用来夹持滚烫的金属器具。熔炼金属矿物的过程中也会用到。

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}}树

TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.",你的殖民者有三种基本需求：食物，水以及睡觉的地方。尽管会抱怨，但附近的河流和以地为床能暂时解决后两个问题。巧妇难为无米之炊（除非出现了魔法师），所以我们需要先解决食物这种燃眉之急的问题。
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.",首先，每年暖春保证播种，等到秋收的时候就能拥有足够的粮食。耕种是稳定且持续的食物来源，但你需要在每年收成的间隔期也拥有足够的粮食。
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.",根据经验来讲，每名殖民者拥有10格的农作物应该就能满足要求了。当前有7名无所事事的殖民者，点击“{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”，然后在草地分配农田的区域吧。
TUTORIAL.1.D,,Use right-click to cancel and go back in menus.,
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.",如果没有其他任务，殖民者会耕耘{{ROOMS.FARM.PLURAL}}的土地，为播种做准备。这不需要任何特殊的工具或知识，因此所有人都应该贡献自己的力量。
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.",这能帮助农田做好播种的准备，与此同时你需要选择种植的农作物，以便农夫进行后续的播种工作。你的殖民者带来了不少的种子。点击右上方的“资源”即可查看殖民地的所有东西。
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GROUP.SEEDS}} (you can right-click to go back up to a previous menu) and designate an area to be used for seeds to be stored.",目前种子都存放在矮人各自的背包里，为了方便农夫存取它们，你需要将它们放在库存中。点击{{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GROUP.SEEDS}}（单击鼠标右键即可返回上级菜单），然后指定存放种子的区域。
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.GROUP.TOOLS}} and designate another area to be used to store tools.,你的殖民者还带来了许多工具。从{{ROOMS.STOCKPILES}}选择{{STOCKPILE.GROUP.TOOLS}}，然后指定存放工具的区域。
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.",一段时间后，殖民者应该会将不用的东西放进库存里，比如需要播种的种子。
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.",点击每块{{ROOMS.FARM.PLURAL}}，然后选择种植的农作物。暂时不要选择{{VEGETABLE.BARLEY}}或{{VEGETABLE.HOPS}}，因为它们主要用来酿制啤酒，而非食物。
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,{{PROFESSION.FARMER.PLURAL}}接下来会将你选择的种子播种到这些{{ROOMS.FARM.PLURAL}}。播种不需要任何特殊的工具，但可能需要安排更多的殖民者成为{{PROFESSION.FARMER.PLURAL}}。左键点击无所事事的殖民者。
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.",点击殖民者即可查看他们的名字、职业、背包、需求以及幸福度。点击其他职业旁边的空白方块按钮即可将第三职业设置为{{PROFESSION.FARMER.NOUN}}。
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.",请注意，部分工作需要殖民者拥有特定的工具，若没有，他们则不会从事需要此工具的工作。比如，你可以指派更多殖民者成为{{PROFESSION.WOODCUTTER}}，但如果没有{{TOOL.AXE.NOUN}}，他们无法砍伐树木。
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.",农作物会逐渐成长，在{{SEASON.AUTUMN}}成熟，然后{{PROFESSION.FARMER.PLURAL}}可以收割它们。有些农作物可以同年多次种植，而且在{{SEASON.WINTER}}也能存活。为了充分利用农作物，最好将蔬菜做成汤，或者将谷物做成面包。
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. For now you can build this outside, but you will eventually want to move the majority of your work areas inside for protection from the elements.",等准备好农作物后，就开始搭建{{ROOMS.KITCHEN}}吧。前往顶层菜单，{{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}}，然后设置{{ROOMS.KITCHEN}}区域。目前你只能在室外搭建，但为了避免受到环境的影响，最终绝大多数的工作区域都需要迁到室内。
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.GROUP.FOOD}} {{ROOMS.STOCKPILE}} to store any harvested crops.",与农田不同，厨房（以及绝大多数房间）需要家具发挥功能。设置厨房的区域后，点击“家具”，然后你就可以看到可以添加的各种家具。在厨房区建造{{FURNITURE.WATER_BARREL}}，{{FURNITURE.KITCHEN_WORKTOP}}和{{FURNITURE.CAULDRON}}后，你就可以做汤了。另外，指定{{STOCKPILE.GROUP.FOOD}} {{ROOMS.STOCKPILE}}来存放收割的农作物。
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!"," 收割农作物后，厨师会将蔬菜带到{{FURNITURE.KITCHEN_WORKTOP}}，然后用{{FURNITURE.CAULDRON}}煮汤！烹饪汤食和烘焙面包意味着更优良的食物供应，单个蔬菜只能供1名矮人1餐的食物，但3份蔬菜做成的汤能供应12餐！"
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.",热气腾腾的汤终于出锅了，但厨师不喜欢其他矮人来他们的厨房闹腾，所以你需要将汤送到宴会厅供所有人享用。点击{{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}，然后添加{{FURNITURE.CAULDRON}}即可指定宴会厅。请注意，如果没有美味的浓汤，则不能将坩埚摆放在宴会厅。
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.,随着时间的流逝， 你会想提高粮食的产量，这会帮助我们的小殖民地度过即将到来的寒冬，在第一批农作物生长的时候，你的殖民者已经带上了干粮。
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them.",大多数物品和家具需要使用{{RESOURCE.PLANKS.PLURAL}}或{{RESOURCE.STONE.BLOCK.PLURAL}}制作。因此保证它们的存量非常重要。{{ROOMS.SAWMILL}}可以生产{{RESOURCE.PLANKS.PLURAL}}，{{PROFESSION.STONEMASON}}在{{ROOMS.MASONRY_WORKSHOP}}能生产{{RESOURCE.STONE.BLOCK.PLURAL}}。先设置区域，然后在其中建造{{FURNITURE.WOODCUTTERS_BENCH}}和{{FURNITURE.STONEMASON_WORKBENCH}}。
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily.",现在你做好了生产{{RESOURCE.PLANKS.PLURAL}}和{{RESOURCE.STONE.BLOCK.PLURAL}}的准备，但还需要原材料，比如{{RESOURCE.LOGS.PLURAL}}和{{RESOURCE.STONE.UNREFINED.PLURAL}}。幸好这些材料的获取途径非常简单。
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.,选择{{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}}，然后框选树木，接下来樵夫就会开始工作了。同样，选择{{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}}，然后框选山脉，接下来就会进行开采工作了。选择足量的两种资源搭建贮存处，每种最多40。
TUTORIAL.8.C,,"Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! ","采矿需谨慎！若7x7的采空区没有{{FURNITURE.PILLAR}}，则会坍塌！ "
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu.",你可以使用W，A，S，D键或方向键移动镜头。在屏幕边缘拖动光标也能移动镜头，但你也可以在设置中禁用该功能。
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.,使用鼠标滚轮或轻按Q和E键可以缩放镜头。
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap.",小地图位于屏幕的右下方，点击即可切换至相应的视角。点击“小地图”标签即可显示或隐藏小地图。
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.,尝试控制镜头，然后点击“继续”。
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!",以上就是游戏的所有基础知识。接下来，你需要挑战建造拥有{{FURNITURE.FORGE}}的{{ROOMS.METALWORKS}}，并且提供燃料和精炼的金属矿物。{{FURNITURE.ORE_CRUSHING_STATION}}能生产精炼的金属矿石，而{{ROOMS.EARTHWORKS}}的{{FURNITURE.CHARCOAL_CLAMP}}能将{{RESOURCE.LOGS.PLURAL}}制成燃料。祝你好运！
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,{{ROOMS.FARM.PLURAL}}已分配农作物
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,{{professionPlural}}已分配
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},{{currentQuantity}}/{{requiredQuantity}} {{targetDescription}}
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,{{roomName}}区格
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key.",午夜时分或退出游戏时会自动保存游戏进度。你也可以按下F5键快速存档。
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed.",当前的日期和时间位于屏幕的右上方，而且你还可以调整游戏的速度。
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.,轻按空格键即可暂停或继续游戏。
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep.",数字键1能让游戏以正常速度运行，数字键2、3和4则会加快游戏的节奏。所有殖民者入睡后，游戏会自动提高到4倍速度。
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.,你也可以点击速度图标进行调整或暂停游戏。

VEGETABLE.BARLEY,,Barley,大麦
VEGETABLE.BARLEY.PLURAL,,Barley,大麦
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",仅用于酿制啤酒的谷物。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,狂战士蘑菇
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,狂战士蘑菇
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,菌盖呈粉红色且有白色斑点。由于具有致幻性，有时候战士会在准备战斗的时候食用。
VEGETABLE.CARROT,,Carrot,胡萝卜
VEGETABLE.CARROT.PLURAL,,Carrots,胡萝卜
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.",耐寒的根茎类蔬菜，即使在{{SEASON.WINTER}}的森林里也能存活。生长快，但产量较小。{{SEASON.SPRING}}，{{SEASON.SUMMER}}和{{SEASON.AUTUMN}}都可以种植。
VEGETABLE.CORN,,Sweetcorn,甜玉米
VEGETABLE.CORN.PLURAL,,Sweetcorn,甜玉米
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.",别名为玉蜀黍的谷物。产量高，但生长需要两季，而且在{{SEASON.WINTER}}无法存活，因此需要在{{SEASON.SPRING}}初期播种。
